addr;name;type;unit;scale;detail
0;Device Type;enum;;;2=String Inverter | 3=1-Phase Hybrid | 4=Micro Inverter | 5=3-Phase LV Hybrid | 6=3-Phase HV Hybrid
1;Modbus Address;value;;1;
2;Protokoll-Version;value;;1;
3;Serial number (10 ASCII bytes);ascii;;;5 regs, 2 ASCII chars each
8;Rated Power;value;;1;
11;Assistant Prog Version;format;;;0x
14;Ctrl FW Version Seg2;value;;1;
15;Ctrl FW Master Version;value;;1;
16;Comm FW Version Seg1;value;;1;
17;Comm FW Version Seg2;value;;1;
18;Comm FW Master Version;value;;1;
19;Safety Type;value;;1;
20;Rated Power (low);value;W;0.1;
21;Rated Power (high);value;W;0.1;
22;MPPT Num & Phases;format;;;0x
23;Rated Grid Voltage;enum;;;0=127/220V | 1=220/380V
60;Remote Lock;enum;;;0=turn on | 2=turn off
61;Self-Check Time (boot);value;s;1;
62;System Time Byte01 (Year);value;y;1;
63;System Time Byte03 (Day);value;d;1;
64;System Time Byte05 (Min);value;min;1;
65;Insulation Impedance;value;kΩ;0.1;
74;Communication Address;value;;1;
75;Communication Baudrate;value;;1;
77;Active Power Regulation;value;%;0.1;
78;Reactive Power Regulation;value;%;0.1;
79;Apparent Power Regulation;value;%;0.1;
80;Inverter enabled;enum;;;0=aus | 1=an
81;Factory Reset Enable;enum;;;0=disable | 1=enable
82;Self-Checking Time;value;s;1;
83;Island Protection Enable;enum;;;0=disable | 1=enable
84;MPPT Number Enable;enum;;;0=disable | 1=enable
85;GFDI Enable;enum;;;0=disable | 1=enable
87;RISO Enable;enum;;;0=disable | 1=enable
88;Grid Standard (old);enum;;;1=China | 2=Brazil | 3=India
90;Low Voltage Ride Through;enum;;;0=disable | 1=enable
91;MCU EEPROM Init;enum;;;0=work normal | 1=init eeprom
92;Comm EEPROM Init;enum;;;0=work normal | 1=init eeprom
96;PowerWH Factor;value;;0.01;
98;Battery Control Mode;enum;;;0=Lead-Battery 4-stage | 1=Lithium
99;Battery Equalization Voltage;value;V;0.01;
100;Battery Absorption V;value;V;0.01;
101;Battery Float V;value;V;0.01;
102;Battery Capacity (current);value;Ah;1;
103;Battery Empty Voltage;value;V;0.01;
104;System Zero-Export Power;value;W;1;
105;Battery Equalization Days;value;d;1;
106;Battery Equalization Hours;value;h;1;
107;Temp Compensation;value;mV/°C;1;
108;Battery Max Charge Current;value;A;1;
109;Battery Max Discharge Current;value;A;1;
111;Battery Type;enum;;;0=Use Battery Voltage | 1=Lithium (BMS) | 2=No Battery
112;Battery Wake Up;enum;;;0=Disabled | 1=Enabled
113;Battery Resistance;value;mOhm;1;
114;Battery Charge Efficiency;value;%;0.1;
115;Battery Shutdown Capacity;value;%;1;
116;Battery Restart Capacity;value;%;1;
117;Battery Low Capacity;value;%;1;
118;Battery Shutdown V;value;V;0.01;
119;Battery Restart V;value;V;0.01;
120;Battery Low V Warn;value;V;0.01;
121;Generator Max Operating Time;value;h;0.1;
122;Generator Cooling Time;value;h;0.1;
123;Gen Charge Start Voltage;value;V;0.01;
124;Gen Charge Start SOC;value;%;1;
125;Gen Charge Max Current;value;A;1;
126;Grid Charge Max Power;value;W;1;
127;Grid Charge Start SOC;value;%;1;
128;Grid Charge Max Current;value;A;1;
129;Gen Charge Enable;enum;;;0=aus | 1=an
130;Grid Charge Enable;enum;;;0=aus | 1=an
131;AC Couple Freq Upper;value;Hz;0.01;
132;Force Generator as Load;enum;;;0=aus | 1=an
133;Generator Port Usage;enum;;;0=Generator | 1=Smartload | 2=Micro Inverter
134;Smart Load Off Voltage;value;V;0.01;
135;Smart Load Off SOC;value;%;1;
136;Smart Load On Voltage;value;V;0.01;
137;Smart Load On SOC;value;%;1;
138;Lithium Battery Enable;enum;;;0=aus | 1=an
139;Battery Capacity;value;Ah;1;
140;Signal Source;enum;;;0=beide aus | 1=Grid Signal an | 2=Gen Signal an | 3=beide an
141;Energy Mgmt Mode (Bitmask);format;;;(Bit0-1: 0=BatFirst/1=LoadFirst, Bit2-3 passive, Bit4-5 active grid balance)
142;System Work Mode;enum;;;0=Self Use | 1=Zero Export to Load | 2=Zero Export to CT | 3=Selling First
143;Max Sell Power;value;W;1;
144;External CT Clamp Phase;format;;;0x
145;Solar Export;enum;;;0=aus | 1=an
146;TOU Day-Mask / Enable;format;;;(Bitmask)
147;Grid Phase Sequence;enum;;;0=0/120/240 | 1=0/240/120
148;TOU Time Slot 1;format;;;HH:MM (x/100 : x%100)
149;TOU Time Slot 2;format;;;HH:MM (x/100 : x%100)
150;TOU Time Slot 3;format;;;HH:MM (x/100 : x%100)
151;TOU Time Slot 4;format;;;HH:MM (x/100 : x%100)
152;TOU Time Slot 5;format;;;HH:MM (x/100 : x%100)
153;TOU Time Slot 6;format;;;HH:MM (x/100 : x%100)
154;TOU Power Slot 1;value;W;1;
155;TOU Power Slot 2;value;W;1;
156;TOU Power Slot 3;value;W;1;
157;TOU Power Slot 4;value;W;1;
158;TOU Power Slot 5;value;W;1;
159;TOU Power Slot 6;value;W;1;
160;TOU Voltage Slot 1;value;V;0.01;
161;TOU Voltage Slot 2;value;V;0.01;
162;TOU Voltage Slot 3;value;V;0.01;
163;TOU Voltage Slot 4;value;V;0.01;
164;TOU Voltage Slot 5;value;V;0.01;
165;TOU Voltage Slot 6;value;V;0.01;
166;TOU SOC Slot 1;value;%;1;
167;TOU SOC Slot 2;value;%;1;
168;TOU SOC Slot 3;value;%;1;
169;TOU SOC Slot 4;value;%;1;
170;TOU SOC Slot 5;value;%;1;
171;TOU SOC Slot 6;value;%;1;
172;TOU GridCharge 1;enum;;;0=nein | 1=ja
173;TOU GridCharge 2;enum;;;0=nein | 1=ja
174;TOU GridCharge 3;enum;;;0=nein | 1=ja
175;TOU GridCharge 4;enum;;;0=nein | 1=ja
176;TOU GridCharge 5;enum;;;0=nein | 1=ja
177;TOU GridCharge 6;enum;;;0=nein | 1=ja
178;Function Flags 1 (Bitmask);format;;;(Bit0-1: MicroInv Export Cutoff, Bit2-3: Gen Peak Shave, Bit4-5: Grid Peak Shave, Bit6-7: On-Grid Always On)
179;Function Flags 2 (Bitmask);format;;;(Bit0-1: ExtCT auto-dir, Bit2-3: Forced Off-Grid)
180;Restore Connection Time;value;s;1;
181;Solar Arc Fault Mode;enum;;;0=aus | 1=an
182;Grid Standard;enum;;;0=Generic | 1=IEEE1547 | 2=RULE21 | 3=SRD_UL1741 | 4=CEI_0_21 | 5=EN50549_CZ | 6=AS4777_A | 7=AS4777_B | 8=AS4777_C | 9=AS4777_NZ | 10=VDE4105 | 11=OVE_R25 | 12=EN50549_CZ_L16A
183;Grid Frequency Config;enum;;;0=50 Hz | 1=60 Hz
184;Grid Type;enum;;;0=Single-Phase 220-240V | 1=Split-Phase 120/240V | 2=3-Phase 208V | 3=Single-Phase 120V
185;Grid Voltage High Limit;value;V;0.1;
186;Grid Voltage Low Limit;value;V;0.1;
187;Grid Frequency High Limit;value;Hz;0.01;
188;Grid Frequency Low Limit;value;Hz;0.01;
189;Gen connected to Grid Input;enum;;;0=aus | 1=an
190;Gen Peak Shaving Power;value;W;1;
191;Grid Peak Shaving Power;value;W;1;
192;Smart Load Open Delay;value;min;1;
193;Output PF Setting;value;%;0.1;
194;External Relay Bits;format;;;(Bit0-8 = 8 Relays)
195;ARC_factory_B High;value;;1;
196;ARC_factory_B Low;value;;1;
197;ARC_factory_I High;value;;1;
198;ARC_factory_I Low;value;;1;
199;ARC_factory_F High;value;;1;
200;ARC_factory_F Low;value;;1;
201;ARC_factory_D High;value;;1;
202;ARC_factory_D Low;value;;1;
203;ARC_factory_T High;value;;1;
204;ARC_factory_T Low;value;;1;
205;ARC_factory_C High;value;;1;
206;ARC_factory_C Low;value;;1;
207;ARC_factory_Frz High;value;;1;
208;ARC_factory_Frz Low;value;;1;
209;UPS Delay Time;value;s;1;
210;BMS Charge Voltage;value;V;0.01;
211;BMS Discharge Voltage;value;V;0.01;
212;BMS Charge Current Limit;value;A;1;
213;BMS Discharge Current Limit;value;A;1;
214;BMS SOC;value;%;1;
215;BMS Voltage;value;V;0.01;
216;BMS Current;value;A;0.01;
