addr;value;hex;signed;name;interp
154;17000;0x4268;17000;TOU Power Slot 1;17000 W
155;17000;0x4268;17000;TOU Power Slot 2;17000 W
156;17000;0x4268;17000;TOU Power Slot 3;17000 W
157;17000;0x4268;17000;TOU Power Slot 4;17000 W
158;17000;0x4268;17000;TOU Power Slot 5;17000 W
159;17000;0x4268;17000;TOU Power Slot 6;17000 W
166;100;0x64;100;TOU SOC Slot 1;100%
167;100;0x64;100;TOU SOC Slot 2;100%
168;100;0x64;100;TOU SOC Slot 3;100%
169;100;0x64;100;TOU SOC Slot 4;100%
170;100;0x64;100;TOU SOC Slot 5;100%
171;100;0x64;100;TOU SOC Slot 6;100%
